"ChargePeriodStartTimestamp","ChargePeriodStartDate","Metric","ProjectId","ProjectName","Charges (USD)","Usage","Formatted Usage"
"2025-07-05T07:00:00.000Z","2025-07-05","Function Duration","","",0,0,"0 GB Hrs"
"2025-07-05T07:00:00.000Z","2025-07-05","Advanced Deployment Protection","","",0,0,""
"2025-07-05T07:00:00.000Z","2025-07-05","Fast Data Transfer","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Fluid Provisioned Memory","","",0,0,"0 GB Hrs"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Function Execution Units","","",0,0,"0 Execution Units"
"2025-07-05T07:00:00.000Z","2025-07-05","Runtime Cache Writes","","",0,0,"0 Writes"
"2025-07-05T07:00:00.000Z","2025-07-05","Sandbox Provisioned Memory","","",0,0,"0 GB Hrs"
"2025-07-05T07:00:00.000Z","2025-07-05","BotID Requests","","",0,0,"0 Requests"
"2025-07-05T07:00:00.000Z","2025-07-05","ISR Writes","","",0,0,"0 Writes"
"2025-07-05T07:00:00.000Z","2025-07-05","Function Invocations","","",0,0,"0 Invocations"
"2025-07-05T07:00:00.000Z","2025-07-05","Fast Origin Transfer","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Speed Insights Data Points","","",0,0,"0 Data Points"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Middleware Invocations","","",0,0,"0 Invocations"
"2025-07-05T07:00:00.000Z","2025-07-05","Speed Insights (formerly named Analytics)","","",0,0,"0 Projects"
"2025-07-05T07:00:00.000Z","2025-07-05","Image Optimization Cache Writes","","",0,0,"0 Writes"
"2025-07-05T07:00:00.000Z","2025-07-05","Sandbox Data Transfer","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Preview Deployment Suffix","","",0,0,""
"2025-07-05T07:00:00.000Z","2025-07-05","Monitoring","","",0,0,""
"2025-07-05T07:00:00.000Z","2025-07-05","Blob Storage Size","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Team Seats","","",0,1,"1 Seat"
"2025-07-05T07:00:00.000Z","2025-07-05","Fluid Active CPU","","",0,0,"0 ms"
"2025-07-05T07:00:00.000Z","2025-07-05","Log Drains Volume","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","On-Demand Concurrent Build Minutes","","",0,0,"0 ms"
"2025-07-05T07:00:00.000Z","2025-07-05","Firewall Rate Limit Requests","","",0,0,"0 Requests"
"2025-07-05T07:00:00.000Z","2025-07-05","Blob Data Transfer","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Sandbox Creations","","",0,0,"0 Creations"
"2025-07-05T07:00:00.000Z","2025-07-05","Blob Advanced Operations","","",0,0,"0 Operations"
"2025-07-05T07:00:00.000Z","2025-07-05","Monitoring data points","","",0,0,"0 Events"
"2025-07-05T07:00:00.000Z","2025-07-05","Blob Simple Operations","","",0,0,"0 Operations"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Requests","","",0,0,"0 Requests"
"2025-07-05T07:00:00.000Z","2025-07-05","Source Images","","",0,0,"0 Images"
"2025-07-05T07:00:00.000Z","2025-07-05","Vercel Remote Caching","","",0,0,"0 B"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Config Writes","","",0,0,"0 Writes"
"2025-07-05T07:00:00.000Z","2025-07-05","Runtime Cache Reads","","",0,0,"0 Reads"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Request CPU Duration","","",0,0,"0 ms"
"2025-07-05T07:00:00.000Z","2025-07-05","Edge Config Reads","","",0,0,"0 Reads"
"2025-07-05T07:00:00.000Z","2025-07-05","Concurrent Builds","","",0,1,"1 Build"
"2025-07-05T07:00:00.000Z","2025-07-05","ISR Reads","","",0,0,"0 Reads"
"2025-07-05T07:00:00.000Z","2025-07-05","Image Transformations","","",0,0,"0 Transformations"
